Outcome,Feature,rho,pVal
GA_AT_SAMPLE,PC.18.0.16.1.,0.180931454701997,2.2351382020032
GA_AT_SAMPLE,PC.18.0.18.0.,0.101078263241227,0.901149336349709
GA_AT_SAMPLE,PC.18.0.18.1.,0.181816814983462,2.25340774201862
GA_AT_SAMPLE,PC.18.0.18.2.,0.0765016595946772,0.607624751508516
GA_AT_SAMPLE,PC.18.0.18.3.,0.137748657286903,1.4386791917234
GA_AT_SAMPLE,PC.18.0.20.2.,0.240069943471443,3.63725014399919
GA_AT_SAMPLE,PC.18.0.20.3.,0.0534012978455526,0.377574665543968
GA_AT_SAMPLE,PC.18.0.20.4.,0.0251063368867871,0.152265550456142
GA_AT_SAMPLE,PC.18.0.20.5.,-0.148634480618907,1.62230928420892
GA_AT_SAMPLE,PC.18.0.22.4.,0.18561404801711,2.33267301566702
GA_AT_SAMPLE,PC.18.0.22.5.,0.163522516482849,1.89197498769565
GA_AT_SAMPLE,PC.18.0.22.6.,0.0575666175792181,0.415893146439308
GA_AT_SAMPLE,PC.18.1.16.1.,0.248094330909262,3.85707043630971
GA_AT_SAMPLE,PC.18.1.18.1.,0.238685236361853,3.60005719819286
GA_AT_SAMPLE,PC.18.1.18.2.,0.131962977053688,1.34565134011026
GA_AT_SAMPLE,PC.18.1.20.2.,0.262308514930844,4.26466691816763
GA_AT_SAMPLE,PC.18.1.20.3.,0.122447741103364,1.19944345488824
GA_AT_SAMPLE,PC.18.1.20.4.,0.134886247618379,1.39226146474392
GA_AT_SAMPLE,PC.18.1.22.6.,0.169135838658118,1.99930707256502
GA_AT_SAMPLE,PC.18.2.16.1.,0.19970504958485,2.63983909771223
GA_AT_SAMPLE,PC.18.2.18.2.,0.0945155110857535,0.81768530168577
GA_AT_SAMPLE,PC.18.2.20.3.,0.165174524648404,1.92323808929157
GA_AT_SAMPLE,PC.18.2.20.4.,0.0921429099095814,0.788433139782733
GA_AT_SAMPLE,PC.20.0.18.2.,0.172523112695186,2.06559494858117
